ma_genba,ten_hop_dong,so_lan,thoi_gian,thu_lam,gio_bat_dau,gio_ket_thuc,tien
014f4f32-8c47-415c-abcc-f779e2ccec9c,日常清掃,6,6.5,月火水木金土,07:00,14:00,272000
4f09c9fe-2553-4e99-b793-809cc9893c3f,日常清掃,3,3,月水金,10:00,13:00,62000
8a20b4dc-9a07-4dd8-a006-ac47b196ff85,日常清掃,3,1.75,月水金,10:00,12:00,42500
746bfa29-7147-424d-8bc5-a15023c6c6eb,日常清掃,3,2.5,月木土,午前,午前,50000
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,共用部日常清掃,6,7.75,月火水木金土,06:00,15:00,460000
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,２０３号室松下不動産株式会社　専用部,6,6.375,月火水木金土,06:00,14:00,21834
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,「大和食品㈱」　専用部,6,4.5,月火水木金土,06:00,11:00,40376
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１３０２号室株式会社オリナス　専用部,5,9,月火水木金,06:00,16:00,12295
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１４０２号室株式会社ヘッドジャパン　専有部　専用部,5,4.75,月火水木金,06:00,11:00,25521
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１５階・１７階　西菱電機株式会社　専用部,5,6,月火水木金,06:00,13:00,101455
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,２階「ＥＮＥＯＳ㈱」　バキューム清掃,,,,,,3946
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,２階「ＥＮＥＯＳ㈱」　ゴミ回収,,,,,,9396
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,株式会社電算システム　専用部（１１階１１０１室）　専用部,,,,,,6913
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,（サカイオーベックス株式会社）　専用部,,,,,,68000
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,（株式会社オリナス　Ｂ１）　専用部,,,,,,21327
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１０階株式会社ロキグループ　バキューム清掃,,,,,,1900
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１０階株式会社ロキグループ　ゴミ回収,,,,,,3800
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１２Ｆ　油化産業　専用部,,,,,,31920
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１２階専有部　日油商事（株）　専用部,,,,,,13232
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１２階専有部日本油脂（株）　専用部,,,,,,51310
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１２階専有部日油技研工業株式会社　専用部,,,,,,17848
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１３階「㈱ブレーンナレッジシステムズ」　専用部,,,,,,12369
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,１４階専有部ＤＯＷＡ　専用部,,,,,,27655
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,４階ケイアイスター不動産㈱　専用部,,,,,,23000
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,２０６・２０７・２０８号しんきん大阪システムサービス株式会社　専用部,,,,,,51429
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,３階専有部　ニチロ　専用部,,,,,,31179
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,ニチロＢ１Ｆ専有部　専用部,,,,,,5925
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,株式会社セプテムプロダクツ　専用部,,,,,,16161
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,株式会社ビー・トライブ専用部（１１０３．１１０４号室）　専用部,,,,,,45617
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,株式会社マルハニチロ食品Ｂ１ＦＣ　専用部,,,,,,1203
6f2ed286-94b3-4bb4-b21d-149a0b4369b6,日本事務器械専用部　専用部,,,,,,36387
339f0eb7-e1f7-4c2b-81d6-662b26b432c9,日常清掃,3,2,火木土,14:30,16:30,44000
93104aa9-ae31-4579-b42f-897614ca1a37,日常清掃,3,1.75,月水金,08:00,10:00,26000
f3eef165-2696-45c2-b773-f796f51ebd4a,日常清掃,3,2,月火木,06:30,08:30,54000
514444e1-4064-400d-a223-781c412f0c9c,日常清掃,1,1,金,13:00,14:00,9000
fe64bc34-1993-4f4d-82a2-a1f325753b9a,日常清掃,5,2.75,月火水木金,11:00,14:00,70000
1b7f2251-9ecc-4048-8605-554db9d793f7,日常清掃,5,3,月火水木金,14:00,17:00,92000
f08293fe-53da-42f7-b4e0-83a36f30cee8,日常清掃　１,5,4,月火水木金,09:00,13:00,147000
f08293fe-53da-42f7-b4e0-83a36f30cee8,日常清掃　２,1,3,土,09:00,12:00,
f08293fe-53da-42f7-b4e0-83a36f30cee8,追加（コインランドリー）,1,0.5,,,,8100
773b2110-840d-4878-bf7d-5957d05f8b19,管理員,5,7.5,月火水木金,09:00,17:00,271000
773b2110-840d-4878-bf7d-5957d05f8b19,残留塩素測定,,,,,,3500
773b2110-840d-4878-bf7d-5957d05f8b19,日常清掃,5,5.75,月火水木金,11:00,17:00,199000
959b8bc7-d4bf-4d25-8595-434a448a5d03,共用部日常清掃,6,5.5,月火水木金土,07:00,14:00,240000
84306114-cbf6-4ff6-960d-1ebabe429224,日常清掃,3,2.75,月火金,08:00,11:00,50000
85451247-6181-42e3-a627-95f3a1c8858d,管理員,5,7,月火水木金,09:00,17:00,189000
e26a5644-d795-4242-b74a-5ffe451cffd6,日常清掃,3,3,,09:00,12:00,73000
d49bde74-559e-49f6-8940-8cc5d6d1dc8c,日常清掃,3,1.75,火水金,08:30,10:30,30000
7171acba-041f-4575-b23e-d321d044f84c,日常清掃,2,1.75,月木,08:00,10:00,28000
cfce802b-2849-4bfd-ab92-0d47c3996fbd,日常清掃,6,2.5,月火水木金土,07:00,09:30,100000
32e54b16-92c3-4c6d-80b9-e687361f409a,日常清掃,2,5,月木,09:30,15:30,100000
25365fd7-cc41-46e1-892d-d75f2a45e59d,日常清掃,2,1.75,月木,08:30,10:30,22000
08dc09ab-0843-4519-b0a7-b45ada2abe88,管理清掃員,3,3,月水金,13:00,16:00,63000
21bbc13e-04a9-4ba6-ac81-39aa55421e65,日常清掃,2,2,火金,15:00,17:00,32000
5fc79919-cf08-466c-a847-98a928e1eaec,日常清掃,3,2.5,水木土,14:30,17:00,56000
1f624cdf-4abf-4906-ae9b-d07485547132,日常清掃,3,3,水木土,14:00,17:00,70000
84212e2c-b031-4989-ab4e-18f24d4e8ede,日常清掃,2,2.5,月木,午後,,37000
f09fc9ce-fe93-44da-912c-2e577946c43f,１Ｆ日新信用金庫,5,1,月火水木金,08:15,09:15,40500
b122e333-b729-4809-a040-f3312a57caef,日常清掃,2,1,月木,12:30,14:00,14000
f999b92e-9b76-4318-b4b5-a066f0a73098,日常清掃,6,1.75,月火水木金土,14:00,16:00,103000
50264c37-bfab-49aa-9db2-af417ad3ba2b,日常清掃,1,1,金,09:00,10:00,10000
597853d8-67dd-40b9-b0de-227e657063c4,日常清掃,2,1.75,火金,15:00,17:00,26000
ff2ec3b7-eed8-4c3c-97f8-295cbe060684,日常清掃,2,2,水土,06:00,08:00,47000
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　１,5,7.75,月火水木金,06:45,16:00,1257000
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　２,5,6.75,月火水木金,07:00,15:00,31520
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　３,6,5,月火水木金土,07:00,13:00,
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　４,5,3.75,月火水木金,07:00,11:00,
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　５,5,6.75,月火水木金,07:00,15:00,
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　６,6,3.75,月火水木金土,06:45,10:30,
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,日常清掃　７,5,6.75,月火水木金,07:00,15:00,
30cd0fb4-bf41-45ae-8ab6-3ca0d38411d0,清掃管理員,6,6.75,月火水木金土,09:00,17:00,312000
84d348e3-d857-4e08-bdd9-a4455c90eda5,管理員,6,4,月火水木金土,08:00,12:00,167000
e5934555-1cf8-4b6b-b65c-92a063a57342,日常清掃,2,2,月木,09:00,11:00,47000
38049937-d9ed-4048-b6ab-7ec91a5a7a48,管理員,6,6,月火水木金土,09:00,16:00,191000
92ac3a76-76f8-44fd-b89d-5258a5bfe045,管理員,7,7,月火水木金土日,09:00,17:00,328000
e9727135-3b66-44f4-962b-c008f8c3e33f,日常清掃,1,1,土,15:00,16:00,13000
4dbd7548-f683-4200-9637-86300bdad14f,日常清掃,2,2,火金,14:00,15:00,47000
