mã genba,tên genba
f12ca7a1-88d7-4b53-b9dd-4ea2f888a5a3,あっとほぉーむカフェ大阪本店
85451247-6181-42e3-a627-95f3a1c8858d,おおきに百万遍サニーアパートメント
b0aade51-2c3f-4724-842d-dc6dc7496252,くらら吹田
1bf49f3a-bc30-4255-a8a4-eb42c5f78b60,くらら桃山台
d4591295-72d9-45ce-b082-1b85db692eba,くらら甲子園
c69b1b26-1b5c-4f58-a58b-898a35eff48c,くらら豊中
e9727135-3b66-44f4-962b-c008f8c3e33f,たかせビル
d050e079-801f-4d3d-9108-6722b9ff48c3,みおつくし小路
0686d2a6-ab5b-4c74-8e5b-f81b227ade47,みおつくし東なんば
0de572bc-a284-42ca-90a3-e5e058157dda,アズ・ワンコティ
514444e1-4064-400d-a223-781c412f0c9c,アミティ近大通り
c16f01a7-2ed9-4416-9625-96ce20fd9e8d,アーバンビュー谷町
cf214818-d0ea-4be2-9396-67b7007970a7,イツワ商事
f08293fe-53da-42f7-b4e0-83a36f30cee8,ウイング旭ケ丘
a36a9211-39fa-4dec-a961-1ffc6a336d1f,エステムコート和歌山ＣＩＴＹステーションフロント
d63244d1-f7c5-44bd-920e-8c6c3614d32b,エスリード千里桃山台
e3d402f6-422c-4504-9e60-e931e402548b,エスリード西宮向陽園
0e96f025-7cb1-4bfc-9c60-e77196d891e3,エスリード野田駅前
240e2ca7-3070-4567-92ab-71eb106db784,エスリード香里園井元町
eeeacc4f-e377-45f5-86e7-4fb7eb32472b,エルシー糀台
fe9c374f-9a1e-4958-a872-dcd77b14b145,エルセラーン化粧品　南森町
84306114-cbf6-4ff6-960d-1ebabe429224,エルヴェ東天満
ade4907f-5f1a-4725-a41b-3b83d9eabc3c,オリックス淀屋橋ビル
7171acba-041f-4575-b23e-d321d044f84c,カネマスロイヤルコート
cfce802b-2849-4bfd-ab92-0d47c3996fbd,カマロファッションプラザビル
1b8b6dd8-b87c-49e1-b98e-d9b9dbbb636e,クリエイト２１アテンドル梅田
1df4d984-c709-4492-8635-9e2614faea6c,クレアシティ布施
32e54b16-92c3-4c6d-80b9-e687361f409a,グッドライフ南草津Ⅱ
4bb00d0b-3218-4e83-a86c-08e457fc7754,グランアッシュ弁天町ベイシス
acd0913f-90be-4683-a6a5-915a97ef10b2,グランドシーズ大正
a61f7c09-a289-4c8b-a53d-f33e01d084d1,グランドシーズ心斎橋
4a9a68e8-b220-4dff-902e-c117b31493e6,グランドシーズ心斎橋Ⅲ
ef02d97b-7203-4900-af4f-6e4f748896e3,グランドシーズ心斎橋東
25365fd7-cc41-46e1-892d-d75f2a45e59d,グランドメゾン
dd7f25bc-1d17-4a87-bb97-55080f98bc32,グランドメゾン大手前
8fa291c4-9a7c-4eac-9908-60bc411d2c0e,グリーンハイツ向陽団地
e2b4aefd-3a48-4eba-b6d0-b79f22542540,ケントク本社ビル
c01e6cc4-1e13-4535-a0e0-6666af6419a2,コウヅキキャピタルウエストビル
99808ca8-860a-4ed7-a602-23f4d721f651,コカ・コーラボトラーズジャパン大阪中央ＳＣ
f8cc2c7a-232c-413c-b45d-653c044de32a,コカ・コーラボトラーズジャパン神戸ＳＣ
08dc09ab-0843-4519-b0a7-b45ada2abe88,コスモ宿院ビル
c2e057e1-36bc-419e-8e90-6de1de4f4f8f,コムズシティ野江
21bbc13e-04a9-4ba6-ac81-39aa55421e65,コンフォリア・リヴ京橋
5fc79919-cf08-466c-a847-98a928e1eaec,コンフォリア・リヴ南森町Ⅱ
1f624cdf-4abf-4906-ae9b-d07485547132,コンフォリア江坂広芝町
db71c865-f4c6-4fdb-8884-cfdca4d0d83e,サムティ姫島リベール
f09fc9ce-fe93-44da-912c-2e577946c43f,サンポール灘
b122e333-b729-4809-a040-f3312a57caef,サンライズ肥後橋ビル
84212e2c-b031-4989-ab4e-18f24d4e8ede,ザ・パーククロス阿波座
de34d322-b06c-4aef-b54c-c69ad9fbd428,シティパーク北野田
fd41fe04-60fd-48c6-9f05-e4a3cf1ec94d,シティーコーポ住之江１号棟（ＥＡＳＴ）
d65592cd-b216-4f20-b477-5379a768e01f,シティーコーポ住之江２号棟（ＷＥＳＴ）
50264c37-bfab-49aa-9db2-af417ad3ba2b,シャネル新大阪
597853d8-67dd-40b9-b0de-227e657063c4,シャルマンフジ大阪城南
f70af50f-1f69-4f8b-a52b-b94a9e6a2df5,ジアコスモ江戸堀パークフロント
f26bd5e2-2290-4da1-9d31-d5d82a9c8a90,ジブラルタ生命保険株式会社　奈良支社・天理営業所
5013ef83-d658-4012-862e-54dea8b68c84,スタイルプラザ
e5934555-1cf8-4b6b-b65c-92a063a57342,スプリント吹田内本町
fba585ed-0f4d-4042-a1c0-f0238f6d4a67,セゾンドミール
136e822f-aff2-4ffc-8741-2c2fb6c8b294,セレナハイム新大宮セントラルステージ
bd367109-c758-4f65-b751-663bfd1a9500,セントラルステージ光明池
58d306f8-fa6c-45a9-96a2-7ed668ced60d,ソレイユ小阪
38049937-d9ed-4048-b6ab-7ec91a5a7a48,ソワ宝塚
c0665fe2-977b-4597-8508-b4b8e60701ad,タイムズ大阪北支店
b2d93244-7d58-4fc2-917b-2bda0f5f4970,タイムズ神戸支店西宮営業所
92ac3a76-76f8-44fd-b89d-5258a5bfe045,ダイアパレスビル本町
2797f4c9-8ca7-4668-a345-7646c8059d47,ダイアパレス南森町
81dc88ee-1372-4125-a686-cd57bf1b5364,テラスレジデンス四ツ橋
aa508684-11d7-4ff4-bb4b-ddcd77222a90,テラスレジデンス夙川駅前
eadc92b5-e8cc-4ab4-9157-57239c363f32,テラスレジデンス新大阪
801e6ba4-252d-449e-a9f4-2c33421bb5e1,デュクラス大阪
7751199b-44b3-49c6-a212-730678c4616a,ドエル大正
f9ca3305-624f-4950-99df-036d6427dd61,ドミール有住・光明池
54a6d44d-b149-402a-81c2-de7ec860e7fb,ドリームコート豊中
3153b92d-788f-445b-9656-ef146b57a4ef,ニューハイツ幸町
bfbab847-fa60-481f-861a-f1c0f99df274,ニューライフ谷町
6ca28522-02bc-4b9c-b1af-3d62bd2baf0d,ネべル大阪上本町
e2bda286-8aaa-4e1a-9e40-a52bd8253210,ネオフィス堺筋本町
111dd8ff-4140-47e2-a383-9f91b81fad2f,ノバティながの南館
24dc54b6-1f07-4f9d-bac3-f51f23385b9e,ノバティながの（北館）
7f5d7b81-584b-42fd-ae54-ddc5c530d049,ノバプロスペリテ
b697f455-fd7f-4b81-a83a-14f03a3940c2,ハイコート晴明丘
6ccde0e3-336b-4266-8af0-20138e06b55e,ハピネスエスト
9e5b71c9-02f0-4c53-a4fd-bf060def88f3,バルカン富田林
4a077d76-122e-4027-b079-160aa0a5e020,パテシオン山科夢ケ丘
15fb1ff6-6d57-42d7-9493-ef6b3583892b,パークテラス北花田
97f9bef5-e255-4c08-8b14-520cecfd6e9e,ヒストワール西九条
95ee8d8a-d7b6-4e44-9a93-3437305fa4b8,ピアチェーレ文の里
8803daea-273e-44e3-bfe4-6a5435d62764,ピアレゾン新今里
f9c97b21-a148-4aa4-86f6-f7e73a976b61,ピースフィールドビル
a604d882-b3f1-453e-82e4-a8db506d6578,フォルテ北館ビル
27cfe0f8-c932-49e2-bacc-dfcfc693552e,フレアコートＫＭ福島
366e01fc-8aef-4d05-bc1d-284652c7d776,プラザ梅田ビル
414dfac1-26e5-40db-bd70-4567256b3e8f,プロジェクトビル
4f41a2fe-2a9c-4bee-bb76-01359125c6ee,プロロジスパーク京田辺
b88fa537-9f4d-4cf7-b59b-81bb35c961bc,プロロジスパーク大阪２
63c1fe1c-5e3f-4605-b5d6-4cb261227a96,プロロジスパーク大阪４
3e1671be-b9b8-46c6-83fa-bfd2e9422b89,プロロジスパーク大阪５
06f26e3c-f48a-49b4-8464-031b409e75d7,プロロジスパーク尼崎１
083ce30b-f25c-4b70-9239-8e820c67c343,プロロジスパーク尼崎２
4e27da26-6fee-4503-a728-0f19e7564c4d,プロロジスパーク猪名川１
50cb5bd2-244a-49a1-b141-6477285f923e,プロロジスパーク猪名川２
88a58456-8778-47e9-a906-8d6444121879,ベル・パークシティ
d57df21d-17c5-4bce-8f70-b4568e3aed70,マキセビル
bc3446a8-67c8-4691-8a85-24c88adfc821,マスターズ・エル二色の浜
8c62a642-a61c-420e-a5f2-14e3725c1c16,マッセ新大阪ハイツ旧館・新館
75a5e946-5490-4b75-b34b-c846b51bd391,メゾン・ド・フェニックス
e4d7caa1-68c2-4256-89f8-916fcf7c0160,モンテ・エスパーニャ
73583584-de60-4b66-883f-db9896aeaf2e,ユアサ大阪ビル
fcc36054-f074-4073-9a75-5106fcd8dc90,ユニハイム千里丘吹田清水
92077dc9-bcd5-4f0e-91bb-909e2ed98925,ユニバーサルスタジオジャパン　ゴミ分別
9e102c7e-2195-4c7a-a7e9-65a34faf5e6a,ユニバーサルスタジオジャパン　夜間日常
8e4b10ab-71f1-426a-81c5-50d2a066853f,ヨシカワビル
36f79f41-a20f-4de5-af48-4d35a44cc086,ライフフィールド三国本町
a89c16c9-f127-4e2f-817c-59caa9f59369,ライフフィールド弁天サラスベイ
ca1757fe-2978-45c2-a834-9b3f3807515c,ライラ大和田
6a74a70d-e7aa-4648-88e9-335e68626292,ラナップスクエア難波
8d188f3a-3380-4825-900d-4c05e5f78da2,リバーガーデン森の城
60c8aa07-f228-4a4e-88b2-683be978fc72,リバーサイドともぶち第１住宅
475a76a1-2478-44b7-8f98-ffbe685bfcfa,リバーヒル大桐
37c32160-2a92-4093-9aec-9f565fa1bdcf,ルクレ阿波座レジデンス
2eb2a4ae-52d3-4d3d-a4c5-f4b957b7a63e,ルピナス南堀江
bce28882-a157-4880-a1f9-0f604384707a,ル・グランシエル昭和町
e26ed068-6e71-4780-8752-17a21ac95058,レアル寺田町
30363d5a-bc02-4201-b617-302db791ff21,レーベン千里青山台　ＧＲＡＮ　ＨＩＧＨ
7c81700a-6c3e-4a98-8420-ba8d5c596dc9,レーベン川西　ＴＩＥＡＫ　ＲＥＳＩＤＥＮＣＥ
37d535cb-52cb-40e2-8f5a-c5e4d0065e38,レーベン浜寺公園
679db7c9-ee4b-4d12-999c-2f6c2c05c083,レーベン豊中永楽荘ヒルズ
87b960f0-404c-439c-9d3c-0937592f5cbe,ロイヤルオータム
931e1411-def0-43aa-8996-56e4670eb8ae,ロイヤルハイツ野田
fb7f995f-be0f-4c63-8334-9bbf32d5a2ea,ロイヤルメドウ東心斎橋
7dab9159-9651-4bab-a704-9d9fac4835cf,ロジベース茨木彩都
0c517cda-7a93-45ec-9557-8c79223bbd37,ロジポート大阪ベイ
0ea30c1f-9f05-46d2-bbeb-ad575bb5cc7a,ロジポート大阪大正
1931e56d-3d9d-4da5-9993-cd6a49958857,ローズコーポ堺筋本町
d56674a9-7297-4c07-bd29-fc3238cdd0c2,ローズコーポ天満東Ⅱ
3676b1e9-dc21-4a50-8dad-9a941d3075c2,ローズコーポ新大阪７
c572f1cc-5bbc-4b89-b332-2ffc2c3cb700,ローズコーポ新大阪９
a868cf1d-b226-44f6-b6d4-50799cb345ac,ローズコーポ本町
b0774035-47ef-4392-bc3a-cfa8b6696b17,ローズコーポ西中島
d05bf530-ee69-44e4-a43f-c871ce8ca76a,ローズコーポ阪神尼崎
faee4714-b558-4f03-8afd-0651dd49eb8b,ワコーレ西宮ＡＸＥ
1ad2290d-7965-4235-89aa-8ab83ce06975,ワコーレ阿倍野播磨町ラフィリス
c19ddfd9-602a-4b71-98b1-58c27444d141,三ツ池台マンション
026ddd1a-d860-4fb8-88f3-4d7baed1ac0e,三ノ瀬パークハイツ
3d76d239-6bb2-4fbd-bc78-dcd05c30f40b,六甲アイランドＤＣ
70873a35-3beb-484d-a0cb-7d926ed2504e,千里月見ヶ丘ハイツ
2c995781-3a60-444d-bb79-89e9d628d999,南塚口ビル
5d91bc2b-784d-494a-bd9c-b137172f364d,南海グリーンコート泉北深井
a07ab415-1c88-422f-af12-f521944213e6,南港中央野球場
fee3028a-bce2-4f33-be37-1e4e950f36ce,和泉鶴山台アーバンコンフォート
79c0c732-0eae-42db-8fa7-e198a5e32c23,商工中金船場
b63fa7f9-7b34-4488-97bc-376a48c6a0a1,城南学園、大阪総合保育大学
ae2a41f4-36c3-47a2-bf0e-ed4452698e98,城東区在宅サービスセンター
8338d6ab-0345-465d-abd8-f0d28213e1e9,夙川ニューコーポ・芦屋ニューコーポⅠ番館・芦屋ニューコーポⅡ番館・朝日ヶ丘荘苑
91e95896-5e40-413f-be4f-c07ddf6962ef,大原学園
5781184c-f5bb-4d5c-a281-41c21fce400b,大和証券堺支店北野田営業所
6d4493a0-a0a5-4816-afe3-8fd87c9b7750,大和証券香里園営業所
e26a5644-d795-4242-b74a-5ffe451cffd6,大手前ハイツ
42a9b5f3-6280-4dbd-8979-22be21d90f20,大阪ソーダ研究センター
af9a95d0-0420-44c8-8637-dc3dcd05bad8,大阪医療技術学園専門学校
d614e70c-c3ed-4366-bbdd-7b69c1325b1d,大阪南港コンテナシャーシプール事務センター
652598d3-1527-4c8d-a678-fc458581570e,大阪市立クラフトパーク
d05d3af6-ffb4-4033-967d-c9a3f4271401,天正八戸ノ里ビル
6a64e174-1d71-4946-bad5-ba71467ae2f4,奥野電機株式会社
884b6a67-4bc9-477b-92fc-48df3b6fa117,小阪パークハイツ
2283a7d1-d945-4f3c-8597-b68498f7e238,山内ビル
4f0da643-5a01-4357-9a7a-16e9a4e1660f,岡本ＯＲビル
ea80917b-1516-4185-a8a5-9b19c88551fe,扇町コーポ
84d348e3-d857-4e08-bdd9-a4455c90eda5,新なにわ筋中川ビル
30cd0fb4-bf41-45ae-8ab6-3ca0d38411d0,新天王寺田中ビル
54088d77-b507-4c5d-83d7-b8370181d9d4,新森小路コーポ
1ce7eaaa-4655-46b6-819e-386e9d41e320,日土地京都ビル
30955e8b-2a10-43dd-8c1a-2528aa38036c,日土地堺筋ビル
c2c5ec6e-cd97-49c4-8bfd-0252feac1594,日本酸素Ｇ＆Ｗ株式会社（旧：大陽日酸）
56232903-ae37-4901-8f9c-a2efa3b07bc9,日立製作所
dabd2580-bbba-4d94-a0cc-c29ca54f2203,日興電気工業㈱ビル
00b0e336-44b6-40ec-90b5-34ef2629797f,昌栄印刷株式会社
02a5757a-5481-4cd5-87c0-1fc9d2610582,明治安田生命肥後橋ビル
d49bde74-559e-49f6-8940-8cc5d6d1dc8c,春日丘マンション
ff2ec3b7-eed8-4c3c-97f8-295cbe060684,昭栄ビル　北館
f999b92e-9b76-4318-b4b5-a066f0a73098,暫ビル
19c53a97-32d9-4067-8e9f-760bf9ac4cd3,東大阪アリーナ
7eab7623-9533-4f46-99b5-9b21910009da,東大阪大治ビル
288040ce-a351-49c7-92cc-1748630558f8,株式会社リーガルコーポレーション大阪支店
e0e3f7d1-9c36-42f4-9de0-a00fbb77b24c,桜宮コンソルト
773b2110-840d-4878-bf7d-5957d05f8b19,梅ヶ枝中央ビル
74f4486d-eafb-410c-8243-29a6ce09413c,梅田イーストビル
7d7bdfcf-4847-4e13-9258-5c9839a59060,森永乳業㈱関西支店
959b8bc7-d4bf-4d25-8595-434a448a5d03,江戸堀ＫＮビル
1b7f2251-9ecc-4048-8605-554db9d793f7,池田ビル３号館
05094e17-b0e7-4aa0-8c44-bc032b02f053,法村友井バレエ団＆バレエ学校
f7a613d8-f15a-4b7f-b2ca-0c3a1998a6da,洋伸帝塚山マンション
4dbd7548-f683-4200-9637-86300bdad14f,津雲台宿舎
ee8a9275-f78d-4733-aa59-15c92a36159e,淀川六番館
fe64bc34-1993-4f4d-82a2-a1f325753b9a,淡路町ビル
2991111b-db22-4782-99a3-57da02a73a42,生野屋内プール
147b0b25-25db-41ce-b325-a6e0b1554b6c,登大路ホテル
df2a898d-6c1b-4755-91da-ebcfac0ce9c0,第三多田ビル
b33cdccc-5ae3-4b8f-b946-a80c01dbd85a,肥後橋ニッタイビル
cc2466c1-fbd8-404d-af1a-88d3fc5dfcf8,西宮ニューコーポ・安田ビルⅠ号館・安田ビルⅡ号館
d8667517-ae30-49de-b8e2-cf661238889b,西緑丘宿舎
de071284-a4aa-4818-bdeb-7af2081e3163,都住創内淡路町
1ef0d4c8-19a9-43c8-8530-5477c3b4fc85,長瀬レーベンハイム
431c06a7-e9c8-498a-851b-9ae4cf272ea2,阪和学園
b04ddcc0-2d5a-4d85-abec-3578a4423c36,飛栄創建ビル
668d2b37-15b8-42fe-a9a9-a80e3b8e001f,高砂ハイツ
492d3f63-5372-4ba8-9f89-249167adad54,魚崎コーポ
014f4f32-8c47-415c-abcc-f779e2ccec9c,ＡＤビル梅田
8c61e702-cac3-490e-b3d5-8fee210c7ea5,Ａｍａｚｏｎ京田辺
4f09c9fe-2553-4e99-b793-809cc9893c3f,ＢＰＲレジデンス江坂
746bfa29-7147-424d-8bc5-a15023c6c6eb,ＢＲＡＶＩ南船場
8a20b4dc-9a07-4dd8-a006-ac47b196ff85,ＢＲＡＶＩ新大阪
79091204-0719-4ea3-8441-5338b6371028,Ｂｒｉｑ　ＳＨＩＮＳＯ　ＢＬＤＧ
e6b36c9a-0f4c-4f9f-bfaf-f73196e4c1f0,ＣＩＴＹＰＡＬＴＡＪＩＭＡＥＡＳＴ
b8ea3e8d-c200-44ef-aba5-ad114466b3c9,ＣＰＤ西淀川
a82b4d40-bc84-400d-874e-d4d2d1e2591a,Ｄｕｃｅ　ｍｉｘ　野田
78accd1a-4e4d-4493-8550-d90163945fc5,ＥＱＵＩＮＩＡ１０６
31d97b35-c4e1-4f80-af32-bec11bec2b1e,ＥＳＲ尼崎
