Hợp đồng ID,Mã nội bộ,Loại HĐ,Tên hợp đồng (仕様),Dịch vụ,Số tiền (請求金額),Số lần/năm,Tên Genba (物件名),MCD,Khách hàng (取引先/支店),Ghi chú (備考),Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Tháng 1,Tháng 2,Tháng 3
05c26f84-f99e-4916-baf4-0f2ecc90d5c2,TEIKI-B37AE60A,RECEIVING,害虫駆除点検業務,害虫駆除点検業務,30000.0,2,プロジェクトビル,70001231,ハウズビル不,,-,-,-,-,⚫︎,-,-,-,-,-,⚫︎,-
8dcdc2e8-70e3-42d8-80b4-fb2e5cd19c2d,TEIKI-F7639A77,RECEIVING,害虫駆除点検業務,害虫駆除点検業務,30000.0,1,関西みらい銀行　羽衣支店,70000665,ハウズ大阪,,-,-,-,-,-,-,-,⚫︎,-,-,-,-
0e317599-c635-4b14-b704-c8dd39bc5bb1,TEIKI-6A862227,RECEIVING,害虫駆除点検業務,害虫駆除点検業務,10660.0,2,東大阪市立総合体育館,41030173,ハウズ大阪,時間をＧＷＥＢへ,-,⚫︎,-,-,-,-,-,⚫︎,-,-,-,-
d5a8d685-ca88-4091-90fa-a572dc217e3b,TEIKI-EE3E7CA3,RECEIVING,害虫駆除点検業務,害虫駆除点検業務,30000.0,4,暫ビル,70001205,ハウズ大阪,（床と同じ日）自社,-,-,⚫︎,-,⚫︎,-,⚫︎,-,-,-,⚫︎,-
b67e278c-02eb-421b-8210-b309c2c67daf,TEIKI-D4AEA469,RECEIVING,害虫駆除点検業務 1,害虫駆除点検業務,130000.0,2,東大阪市花園ラグビー場,70001713,ハウズ大阪,"（薬剤散布）時間をＧＷＥＢへ入力
時間入力",-,-,⚫︎,-,-,-,-,-,⚫︎,-,-,-
f4eb2dc1-165a-47f8-a067-5266789e8918,TEIKI-67028179,RECEIVING,害虫駆除点検業務 2,害虫駆除点検業務,5000.0,6,東大阪市花園ラグビー場,70001713,ハウズ大阪,（薬剤散布）時間をＧＷＥＢへ入力,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-
6a10e26c-1c82-4b3c-a07a-bfc36fe71640,TEIKI-9270687B,RECEIVING,植栽管理,植栽管理,60000.0,2,東大阪市花園ラグビー場,70001713,ハウズ大阪,（薬剤散布）時間をＧＷＥＢへ入力,-,⚫︎,-,-,-,-,-,⚫︎,-,-,-,-
c3454551-e7bc-436c-b0a5-5c12be8bfd4f,TEIKI-B7A4E076,RECEIVING,空気環境測定,空気環境測定,12000.0,6,ユアサ大阪ビル,41030168,ハウズビル不,,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-
8d1fa7f8-caad-4bc7-9ebc-f9f2d120e4a7,TEIKI-D06B403B,RECEIVING,空気環境測定,空気環境測定,14100.0,6,Ｗａｊｉｍａ十番丁,70000116,ハウズ大阪,➞大阪南支店和歌山営業所,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-
2797d420-bcb7-4bbf-90af-d82f91226a79,TEIKI-80B0B906,RECEIVING,空気環境測定,空気環境測定,32390.0,6,ボウリングスペースヒット,41030080,ハウズ大阪,,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
a4e51da7-c15d-4946-bd6a-2970a7080e4c,TEIKI-9F66FE5B,RECEIVING,空気環境測定,空気環境測定,14100.0,6,フォルテワジマ,70000199,ハウズ大阪,大阪南支店　ビル不動産部,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
7df9dc69-bae2-4710-bf2d-e2b41af93606,TEIKI-133FAE38,RECEIVING,空気環境測定,空気環境測定,20000.0,6,ノバティながの北館,70001986,ハウズ大阪,ビル不動産,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
775109f8-be95-43e8-85d8-8194560932ad,TEIKI-40173CD5,RECEIVING,環境測定,環境測定,10000.0,6,ノバティながの南館,41001318,ハウズ大阪南,大阪支店,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
8b469d4a-d7ab-43c7-9d3e-f68909c01969,TEIKI-6CDA9C33,RECEIVING,空気環境測定,空気環境測定,14000.0,6,ブルータスビル,41030176,ハウズ大阪,（Ｈ28年1月より）,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
c4485965-ab9a-4831-82d7-9e30ce15de0c,TEIKI-0D30DF58,RECEIVING,空気環境測定,空気環境測定,15000.0,6,東大阪市立総合体育館,41030173,ハウズ大阪,時間をＧＷＥＢへ,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
7f39a19a-13e6-44bd-aa89-5d781a4b0d31,TEIKI-62FF9893,RECEIVING,空気環境測定,空気環境測定,22000.0,6,Ｉ・Ｎ東洋ビル,70000844,ハウズ神戸,,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎,-,⚫︎
05312f7f-f32b-4136-b510-9399585ddc6c,TEIKI-69C1C1BC,RECEIVING,簡易専用水道検査 1,簡易専用水道検査,16000.0,1,プロジェクトビル,70001231,ハウズビル不,,⚫︎,-,-,-,-,-,-,-,-,-,-,-
e0567005-d2e5-4679-9ac8-ee80c0765da0,TEIKI-33F9F493,RECEIVING,簡易専用水道検査,簡易専用水道検査,16000.0,1,グランプリ１１ビル,41030180,ハウズ大阪,,⚫︎,-,-,-,-,-,-,-,-,-,-,-
b256ed26-f940-487a-ac5f-2c38aaf29faa,TEIKI-BAFC7467,RECEIVING,高架水槽清掃,高架水槽清掃,33600.0,1,グランプリ１１ビル,41030180,ハウズ大阪,,⚫︎,-,-,-,-,-,-,-,-,-,-,-
bfdcc245-d579-4826-92be-0d29070d7be3,TEIKI-EF78D581,RECEIVING,専用部定期清掃,専用部定期清掃,15800.0,12,新なにわ筋中川ビル,41040052,ハウズビル不,"（第2土曜日指定自社作業）
第2土自社2024年1／13.2／10.3／9.4／13.5／11.6／8.7／13.8／17.9／14.10／12.11／9.12／14",⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎,⚫︎
b4de2ec9-3810-4165-a23c-fcf9801961cc,TEIKI-E10394DB,RECEIVING,ガラス清掃,ガラス清掃,33700.0,3,新なにわ筋中川ビル,41040052,ハウズビル不,,⚫︎,-,-,-,⚫︎,-,-,-,⚫︎,-,-,-
