取引先の社名,取引先の担当,自社担当,種別,物件名（本体）,住所
イオン,亀山,松崎,他,あっとほぉーむカフェ大阪本店,大阪市浪速区日本橋４－９－１３
ハウズビル不,樋口,久保,マンション,おおきに百万遍サニーアパートメント,京都市左京区田中大堰町
ケントク,,,他,くらら吹田,吹田市朝日が丘町２４－３
ケントク,,,他,くらら桃山台,豊中市東泉丘１－４－２０
ケントク,,,他,くらら甲子園,西宮市甲子園四番町８－２２
ケントク,,,他,くらら豊中,豊中市末広町１－９－１３
ハウズビル不,和田,松本,マンション,たかせビル,大阪市北区西天満３丁目１１−３
ハウズビル不,樋口,松本,マンション,みおつくし小路,大阪市生野区小路３丁目１６－９
ハウズビル不,樋口,松本,マンション,みおつくし東なんば,大阪市浪速区元町３丁目９－５
ハウズ大阪北,近藤,久保,マンション,アズ・ワンコティ,尼崎市田能３丁目１−３８
ハウズビル不,池田,松崎,マンション,アミティ近大通り,東大阪市小若江４－１１－２７
ハウズ大阪,西尾,,マンション,アーバンビュー谷町,大阪市中央区上本町西１丁目５－２４
ザイマサラ,杉本,サン,他,イツワ商事,東大阪市西堤楠町２丁目１－１
ハウズビル不,鷲尾,松本,マンション,ウイング旭ケ丘,豊中市旭丘４−４−９８
ハウズ大阪南,,,マンション,エステムコート和歌山ＣＩＴＹステーションフロント,和歌山市伝法橋南ノ丁１１－１
エスリード,松永,久保,マンション,エスリード千里桃山台,豊中市新千里南町３丁目８－１２
エスリード,松永,久保,マンション,エスリード西宮向陽園,西宮市甲陽園東山町９－４１
ハウズ大阪,津野,,マンション,エスリード野田駅前,大阪市福島区野田３丁目１３－１７
エスリード,松永,久保,マンション,エスリード香里園井元町,寝屋川市美井元町２０－１
日昌,,,マンション,エルシー糀台,神戸市西区糀台４丁目１６－１
ケントク,田中,,ビル施設,エルセラーン化粧品　南森町,大阪市北区南森町２丁目２－１５
ハウズビル不,東野,,マンション,エルヴェ東天満,大阪市北区東天満１丁目２−１
オリックス,,サン,ビル施設,オリックス淀屋橋ビル,大阪市中央区北浜３丁目５－２２
ハウズビル不,上林,松本,マンション,カネマスロイヤルコート,大阪市東住吉区矢田２丁目１５−６
ハウズビル不,上林,松本,マンション,カマロファッションプラザビル,大阪市中央区東心斎橋２丁目３−１４
ハウズ大阪,前田秋,,マンション,クリエイト２１アテンドル梅田,大阪市福島区福島６丁目１９－７
ハウズ大阪,藤本,松崎,マンション,クレアシティ布施,東大阪市足代北２丁目１－１３
ハウズビル不,山﨑,,マンション,グッドライフ南草津Ⅱ,草津市南笠東３丁目１９−３６
他,坂本,,マンション,グランアッシュ弁天町ベイシス,大阪市港区市岡元町１－４－４
ハウズ大阪,梶,,マンション,グランドシーズ大正,大阪市大正区三軒家東４丁目１－１６
ハウズ大阪,沢田,,マンション,グランドシーズ心斎橋,大阪市西区北堀江１丁目１４－２３
ハウズ大阪,豊田,,マンション,グランドシーズ心斎橋Ⅲ,大阪市中央区南船場４丁目１０－４
ハウズ大阪,藤本,,マンション,グランドシーズ心斎橋東,大阪市中央区島之内１丁目１５－１２
ハウズビル不,樋口,松本,マンション,グランドメゾン,大阪市西成区天下茶屋３６－１８－１６
日昌,,,マンション,グランドメゾン大手前,大阪市中央区内淡路町１丁目１－３
ハウズ大阪北,松永,久保,マンション,グリーンハイツ向陽団地,川西市向陽台１丁目
新海（ケントク）,石田,,他,ケントク本社ビル,大阪市北区豊崎４－１１－１７
鹿島建物,,久保,ビル施設,コウヅキキャピタルウエストビル,大阪市北区曾根崎２丁目６
イオン,定久,松崎,ビル施設,コカ・コーラボトラーズジャパン大阪中央ＳＣ,大阪市西区西本町２丁目２－１
イオン,牧内,サン,他,コカ・コーラボトラーズジャパン神戸ＳＣ,兵庫県　神戸市灘区　灘浜町１－２
ハウズビル不,鷲尾,松本,ビル施設,コスモ宿院ビル,堺市堺区大町西１丁１
